Job_Title,relatedSkills
Adobe CQ5 Developer,Java;Cascading style sheets;Recruiting;3D computer graphics;Adobe CQ;Adobe Experience Manager;JavaScript
Adobe LiveCycle Developer,
Advisory Services IT Risk Manager,
Adwords Strategist,
Aerospace Engineer,Planning;Repair;Quality assurance;Recruiting;Aerospace
Agile Coach,Coaching;Training;Agile coaching;Transformation;Scrum;Kanban;Agile
Agile Project Manager,Agile management;Project planning;Planning;Quality assurance;JIRA;Scrum;Project management;Agile;Status reports
Alarm Technician,Access control;CCTV;Recruiting;Talent management
Analytics Analyst,Health care;Analytics;Presentations;Modeling;Python;Data analysis;SQL
Analytics Manager,Analytics;Business intelligence;Web analytics;Marketing;Forecasting;Adobe Analytics
Android Developer,Software development;Java;Mobile development;Quality assurance;Android development
Android Development Team Lead,
Angular Lead,Java;HTML5;Cascading style sheets;UI;AngularJS;JavaScript
AngularJS Developer,RESTful;C#;HTML5;Cascading style sheets;UI;AngularJS;.NET;Agile;JavaScript
Animator,Creativity;Animation;Media;HTML5;Advertising;Adobe Photoshop;Attention to detail;Facebook
Appian Architect,
Appian Developer,Software development;Java;Appian;Quality assurance
Application Administrator,ITIL;Database;Quality assurance;Software administration
Application Analyst,Health care;Software analysis;Quality assurance;Epic
Application Architect,Software development;RESTful;Software architecture;Quality assurance;.NET
Application Developer,Software development;Java;Quality assurance;Software engineering;JavaScript
Application Manager,Enterprise resource planning;Budget;Business systems;Quality assurance;Software management;Project management
Application Migration Manager,
Application Packager,VBScript;Software packaging;Scripting;Windows PowerShell;Software deployment;Microsoft App-V;Windows Installer;Microsoft Windows
Application Security Consultant,Software development;Quality assurance;OWASP;Vulnerability assessment;Cloud computing;Software security;Information security
Application Security Engineer,Software development;Penetration testing;Software security;Amazon Web Services;Web applications
Application Specialist,Collaboration;Training;Ceridian;Quality assurance;SuccessFactors;Technical support;Research
Application Support,IT service management;Computer networking;Recruiting;Talent management;Technical support;SQL
Application Support Analyst,Software development;Training;Quality assurance;Technical support;SQL
Application Support Engineer,Quality assurance;Technical support;Linux;SQL
Application Support Specialist,Training;Quality assurance;Recruiting;Technical support;Mortgage
Application Systems Engineer,Software development;Systems engineering;Quality assurance;Java
Applied Research Engineer,
ArcSight Engineer,Computer networking;ArcSight;Intrusion detection;Firewall;SIEM;Network security;Information security
Archer Consultant,RSA;SAP GRC;EMC RSA Archer;Splunk
Archer Developer,RSA;Software development;Quality assurance;SAP GRC;EMC RSA Archer;Microsoft SQL Server
Architect,Quality assurance;Cloud computing
Architect Director,Quality assurance;Software deployment;Cloud computing;Strategy
Architecture Consultant,SEC;SAP;Information security;HTTP;SAP Security
Ariba Developer,Ariba;Procurement;PASS;Sourcing
Ariba Project Implementation Lead,
Art Director,Cascading style sheets;Adobe Illustrator;Creativity;NCR;HTML;Integrated marketing;JavaScript
Asset Manager,Presentations;Revenue management;Asset management;Pricing;ServiceNow;Statistics
Assistant Director,Education;Service delivery;Policies;Software deployment;Technical support;Supervision
Assistant Vice President,Software development;Policies;Trading;Quality assurance;Meta-data management
Associate Project Manager,Document management;Auditing;Turnover;Supervision;Project management
Assurance Manager,Electrical engineering;Quality assurance;Metrics;Security clearance;Manufacturing;PMP;Mechanical engineering
Audio Engineer,Software development;Audio engineering;HAL;Art;UI;Linux;Android development
Augmented Reality Engineer,
Automation Engineer,Software development;Java;Scripting;Automated testing;Quality assurance;Automation
Automation Lead,Robotic process automation;Automated testing;Quality assurance;Selenium;Automation;Software development;Java
Automation Tester,JIRA;Selenium;Automation;Agile;Java;Automated testing;Quality assurance
Avaya Engineer,Telephony;Switches;VoIP;Avaya;Contact center;OEM
BI Analyst,Data warehouse;Analytics;Business intelligence;Dashboard;Tableau;SQL
BI Architect,Data warehouse;Business intelligence;Business Objects;ETL;BI architecture;Tableau
BI Consultant,Data warehouse;Health care;Business intelligence;Quality assurance;Microsoft SSIS;ETL;Data analysis
BI Data Architect,Data warehouse;Business intelligence;Database;Modeling;Data architecture;Microsoft SSAS;ETL;Specification
BI Developer,Data warehouse;Microsoft Power BI;Microsoft SSRS;Business intelligence;Microsoft SSIS;Microsoft SSAS;ETL;Microsoft SQL Server;SQL
BI Lead,Qlikview;SAP BI;OBIEE;Cloud computing;SQL;Data warehouse;Health care;Business intelligence
BI Manager,Call center;Data warehouse;Business intelligence;Microsoft Dynamics;Quality assurance;Business intelligence management
BI Specialist,Data warehouse;Business intelligence;Dashboard;Quality assurance;JIRA;Kofax
BI Tester,SQL;Test cases;Data warehouse;Software development;Microsoft Power BI;Business intelligence;Automated testing;Quality assurance;ETL
BIM Manager,Accountability;Project planning;Autodesk Revit;Graphics design;Construction management;NavisWorks
BPM Developer,Web services;Software development;Java;IBM BPM;Agile
Backend Developer,Java;API;Backend development;Python;Amazon Web Services
Backup Administrator,ITIL;Storage;Backup;Backup administration;Policies;Security clearance;Microsoft Windows
Big Data Administrator,
Big Data Architect,Apache Kafka;Apache Spark;Business intelligence;Cloud computing;Big data;Amazon Web Services;Apache Hadoop
Big Data Consultant,Java;Apache Kafka;Informatica;Apache Spark;Quality assurance;Big data;Apache Hadoop;Apache Hive
Big Data Developer,Java;Apache Spark;Cloud computing;Python;Big data;ETL;Amazon Web Services;Apache Hadoop;Apache Hive
Big Data Lead,IT management;Apache Kafka;Apache Spark;API;Cloud computing;Big data;Amazon Web Services;Apache Hadoop
Billing Analyst,Sales;Billing;Quality assurance;Recruiting;HB;Epic
Bioinformatician,Software development;Biomedicine;Bioinformatics;Scripting;Science;Python;Research
Biomedical Engineer,Biomedical engineering;3D computer graphics;3D printing;3D modeling;Research;MATLAB;Signal processing
Biostatistician,Analytics;Teamwork;Bioinformatics;Quality assurance;Science;SAS;Biostatistics;Biotechnology;Statistics;R
BizTalk Developer,C#;CGI;Quality assurance;Microsoft BizTalk Server;.NET;Microsoft SQL Server
Blockchain Developer,Java;Cryptography;Blockchain;Solidity;Ethereum
Broadband Technician,
Budget Analyst,Software development;Business analysis;Budget;DoD;Security clearance;Financial management
Build Engineer,Switches;Cisco;Scripting;Software deployment;IBM GPFS
Build Release Engineer,Software release life cycle;Jenkins;Scripting;Quality assurance;Python;Big data;Linux
Business Analyst,Business analysis;Business requirements
Business Analyst Consultant,Education;Training;Business analysis;Microsoft SharePoint;Quality assurance;Microsoft TFS;User stories
Business Analyst Intern,System testing;Business analysis;System requirements;Functional requirements;Internship
Business Architect,Business requirements;Pega;Business architecture;Strategy;Business process
Business Consultant,Business cases;Skype;Project management
Business Continuity Analyst,Project planning;Quality assurance;Disaster recovery;Project management;Business continuity planning;Recovery
Business Data Analyst,Data warehouse;Business analysis;Microsoft SharePoint;Database;Microsoft Excel;Data analysis;SQL
Business Development Executive,Training;Sales;Recruiting;Business development;Writing
Business Development Manager,Enterprise resource planning;Sales;Video;Recruiting;Business development;NetSuite;OTT
Business Development Representative,New business development;Prospecting;Sales;Salesforce.com;Business development;Customer relationship management;NetSuite
Business Intelligence Data Warehouse Informatica Consultant,
Business Manager,Program management;Business management;PMO;Budget;Microsoft Excel
Business Objects Administrator,Business intelligence;Migration;Business Objects;Microsoft Windows;Apache Tomcat
Business Objects Developer,PL/SQL;Business intelligence;Dashboard;Unisys;WEBI;Business Objects;SQL;Crystal Reports
Business Operations Analyst,Education;Change management;Computer networking;Quality assurance;Business process;Business operations
Business Process Analyst,Process analysis;Process modeling;Business analysis;Quality assurance;Business process;Security clearance
Business Process Consultant,Process improvement;Business analysis;Quality assurance;Strategy;Business process
Business Project Manager,Procurement;Change management;Microsoft Project;PMO;Training;Microsoft Excel;Project management
Business Solution Analyst,Analytics;Training;Quality assurance;Order to cash;Firewall;IBM;Problem solving
Business System Advisor,
Business Systems Consultant,Business analysis;Identity management;Business systems;Quality assurance;Information security
C Developer,Software development;C;Pro*C;OpenVMS;Oracle;Linux;Recruiting
C SDET,
C# Application Developer,Education;Software development;C#;Quality assurance;IBM;.NET;Microsoft SQL Server;JavaScript
C# Developer,Software development;C#;Quality assurance;.NET;Microsoft SQL Server;SQL;Agile;JavaScript
C++ Developer,Software development;C;Quality assurance;C++;Software engineering;Linux
C++ SDET,
CAD Designer,Technical drafting;SolidWorks;CAD;Specification;AutoCAD;Mechanical engineering
CAD Drafter,Technical drafting;Telecommunications;3D computer graphics;Surveying;Autodesk;AutoCAD Civil 3D;CAD;AutoCAD
CAD Librarian,Schematic;PCB;Database;Conceptual design;Cadence;HDL;CAD;Allegro;Librarian
CAD Technician,Geographic information system;Telecommunications;Recruiting;Optical fiber;CAD;AutoCAD
CDO,Training;Clerk;Policies and procedures;Reconciliation;Banking;Portfolio management;Information security
CISO,Education;Privacy;Information security;Business continuity planning
CNC Machinist,Machinist;Blueprint;Machining;Aerospace;Milling;CNC;Manufacturing
CNC Programer,Software development;Machinist;Numerical control;Quality assurance;Machining;CAM;Manufacturing;CNC
CQ5 Developer,Java Servlets;Forms;Apache Sling;Scrum;OSGi;CQ;Adobe CQ;Adobe Experience Manager;Agile
CRM Administrator,Training;Microsoft Dynamics;Sales;Technical support;Customer relationship management;Microsoft Dynamics CRM;CRM administration
CRM Analyst,Requirements elicitation;Customization;Microsoft SSRS;Dashboard;Quality assurance;Customer relationship management;Microsoft Dynamics CRM
Cable Infrastructure Technician,
Cable Installation Technician,
Cable Technician,IT service management;Computer networking;Quality assurance;Recruiting;Talent management;Optical fiber
Call Center Manager,
Capacity Planner,Performance analysis;Capacity management;Operating systems;Forecasting;Data collection;SMF;Computer hardware;z/OS
Captiva Developer,EMC;Health care;Software development;OpenText;C#;EMC Captiva;Scripting;Quality assurance;.NET
Cassandra Admininstrator,
Cassandra DBA,Database administration;Apache Cassandra;Database;NoSQL;Data centers
Change Management Analyst,Program management;Change management;Presentations;Training;Organizational change management;Planning;OCM;Project management
Change Management Consultant,Change management;Training;Organizational change management;Business readiness;OCM;Project management
Change Management Lead,Education;Training;Organizational change management;Planning;Communication planning
Change Management Manager,Professional development;Training;Transformation;Organizational architecture;Brand;Recruiting;Strategy;Organizational development
Change Management Specialist,Change management;Training;Quality assurance;Security clearance
Change Manager,Change management;Organizational change management;Strategy;Training;Recruiting;Project management
Chemist,Patents;Chemistry;SOP;Laboratory equipment
Chief Executive Officer,Wireless communication;MVNO;Business development;Telecommunications;Proposal writing;Quality assurance
Chief Information Officer,Health care;Transformation;Medicaid
Chief Innovation Officer,
Chief Marketing Officer,
Chief Medical Officer,
Chief Operating Officer,Embedded software;Screening;Budget;C++;Real estate
Chief Product Officer,Education;Presentations;Product management;HIS;Training;Trading;Foreign exchange;Marketing;Supervision
Chief Scientific Officer,
Chief Security Officer,System administration;C;Database;DoD;Security clearance
Chief Technology Officer,Blockchain;Microsoft Exchange;Amazon Web Services
Cisco Network Engineer,Computer engineering;Switches;Cisco;Computer science;Information systems;Computer networking;Firewall
Cisco Solution Architect,Switches;Collaboration;Cisco;Computer networking;Sales;Solution architecture
Cisco Voice Engineer,Collaboration;Cisco;Computer networking;Cisco UCM;Unity;Cisco Certifications;Cisco Voice
Citrix Administrator,Citrix administration;EEO;Citrix XenApp;Quality assurance;Citrix;Microsoft App-V
Citrix Engineer,Citrix XenApp;Citrix XenDesktop;Citrix;Active Directory;NetScaler;Microsoft Windows
Civil Designer,
Civil Engineer,Civil engineering;Quality assurance;AutoCAD Civil 3D;Project management;AutoCAD
Client Director,Sales;KPI;RFI;Cloud computing;Technical sales;RFQ;Public sector
Clinical Analyst,Cerner;Pharmacy;MEDITECH;Data analysis
Clinical Content Editor,
Clinical Data Analyst,Health care;Clinical data analysis;Technical writing;Performance appraisal;Medical devices;Technical support;Project management;R
Clinical Data Manager,
Clinical Research Associate,Quality management;EEO;Quality assurance;Research;Clinical research
Clojure Developer,Apache Maven;Software development;Clojure;Apache Solr;Elixir;Microsoft SQL Server;Eclipse;Web applications;Apache Tomcat
Cloud Administrator,Microsoft Windows Azure;Scripting;Windows PowerShell;Cloud computing;Salesforce.com;Automation;Microsoft Office
Cloud Architect,Sales;Cloud architecture;Microsoft Windows Azure;Cloud computing;Amazon Web Services
Cloud Consultant,Sales;Microsoft Windows Azure;Marketing;Cloud computing;Salesforce.com;Oracle;Microsoft Office
Cloud Engineer,Software development;Microsoft Windows Azure;Quality assurance;Cloud computing;Python;Automation;Amazon Web Services
Cloud Infrastructure Architect,IaaS;Storage;Computer networking;Microsoft Windows Azure;Cloud computing;Oracle Cloud;Linux;Amazon Web Services
Cloud Infrastructure Engineer,IaaS;Microsoft Windows Azure;Cloud computing;Automation;Amazon Web Services
Cloud Security Manager,
Cloud Systems Engineer,IaaS;Computer networking;Systems engineering;Scripting;Cloud computing;Amazon Web Services
Cloud automation engineer,Scripting;Software deployment;Cloud computing;Automation;Performance monitoring;SaaS;Continuous integration
Cloudera Administrator,IT management;Database;Cloudera;Quality assurance;Apache Hadoop
Cobol Programer,IBM WebSphere MQ;IBM DB2;SQL;Software development;Quality assurance;COBOL
Cognos Administrator,IBM Cognos;Business intelligence;Database;Content development;IBM Cognos BI;Problem solving
Cognos Developer,Data warehouse;IBM Cognos;Business intelligence;Quality assurance;SQL
Cognos Report Developer,Accounting;Customer support;Billing;Database;Quality assurance;RDBMS;Business requirements
ColdFusion Developer,Software development;Java;HTML;Cascading style sheets;Software engineering;ColdFusion;JavaScript
Commercial Alarm Technician,Access control;IP;CCTV;Intrusion detection
Commodity Trading Risk Management,
Communication Systems Engineer,RF;Computer networking;Systems engineering;Quality assurance
Communication Systems Engineer I,
Communication Systems Engineer II,
Communication Systems Engineer III,
Communications Analyst,SATCOM;Cisco;Planning;Computer networking;Identity management;Video
Communications Coordinator,Organized;Presentations;Editorial;Collaboration;Strategic communication;Intranet;Journalism;Internal communications;Multimedia
Communications Manager,Presentations;Creativity;Strategy;Taxes;Microsoft PowerPoint;Internal communications;Writing;Project management
Communications Specialist,Change management;Presentations;Marketing;Strategic communication;Strategy;Writing
Communications Technician,Training;Computer networking;Transportation;Recruiting;Human resources;Inventory
Compliance Analyst,Sarbanes-Oxley;Policies;Auditing;IT audit;Information security
Compliance Manager,Quality assurance;Electromechanics;Taxes;Information security
Compliance Specialist,Sarbanes-Oxley;Policies;Auditing;Information security
Computational Scientist,Biology;Computer networking;CNN;Machine learning;TensorFlow;DoD;Python;Deep learning;Computational science;Research
Computer Analyst,Computer networking;Thin client;LAN;Customer service;Help desk
Computer Engineer,Software development;Computer engineering;TCP/IP;Computer networking;Network protocols;Embedded systems;OOAD;Linux
Computer Operator,Training;Computer networking;Computer operation;Data centers
Computer Repair Technician,
Computer Specialist,Procurement;Technical support;Customer relationship management;.NET;SQL;Mainframe
Computer Support Technician,Computer networking;Technical support;Computer hardware;Project management;Customer service
Computer Systems Analyst,Enterprise resource planning;Systems analysis;Salesforce.com;Customer relationship management
Computer Systems Validation Manager,
Computer Technician,Technical support;Computer hardware;Customer service;Laptop;Help desk
Computer Vision Engineer,Algorithms;Computer vision;Machine learning;3D computer graphics;C++;Deep learning;Startups
Configuration Analyst,Software development;SAP;Salesforce.com;Business process
Configuration Management Analyst,Auditing;Configuration management;Security clearance
Configuration Management Engineer,Scripting;Software deployment;Configuration management;Linux
Configuration Management Specialist,Configuration management;Security clearance
Configuration Manager,Quality assurance;Configuration management;Security clearance
Configuration Technician,Quality assurance;Recruiting;Computer hardware;Specification
Consultant Business Intelligence Data Warehouse,
Consultant Developer,Ariba;Software development;Robotic process automation;Recruiting;Taxes
Content Editor,Education;Video;Content management systems;Marketing;Editing;Brand;Recruiting;Microsoft Office
Content Manager,Content strategy;Content management;NCR;Microsoft SharePoint;Marketing;Brand;CMOD;Social media;IBM;Attention to detail
Content Specialist,Creativity;Content strategy;Strategist;Adobe Experience Manager;Writing;CMS
Content Strategist,Creativity;Content strategy;Marketing;Brand;User experience;Strategist;Writing
Content Test Specialist,
Content Writer,Creativity;Training;Marketing;Brand;User experience;Content creation;Adobe Experience Manager;Writing
Contract Administrator,Contract management;Legal;Telecommunications;Proposal writing;Security clearance;Negotiations
Contract Analyst,Procurement;SOW;Policies;Acquisition;Pricing
Contract Recruiter,Metrics;Internet;Human resources;Computer networking;Database;Auditing;Recruiting
Contract Specialist,Contract management;Procurement;Privacy;Security clearance;Research;Acquisition
Contracts Manager,Contract management;Procurement;Legal;Recruiting;Negotiations;Sourcing
Controls Engineer,Electrical engineering;Software development;Allen-Bradley;Control engineering;Automation;HMI
Copywriter,Creativity;Marketing;Editing;Brand;SEO;Journalism;Copywriting;Writing
Core Java Developer,Software development;RESTful;Java;Database;API;Quality assurance;Oracle;Spring;Spring Framework;SQL
Corporate Trainer,Training;Goal oriented;Transformation;Strategic thinking;Facilitation;Business acumen;Training and development;Human resources;Workday
Creative Director,POP;Retail;Marketing;Social media;Adobe CS;Creativity;Brand
Credit Analyst,Accounting;LinkedIn;Credit analysis;Underwriting;Internship;Credit risk;Credit management
Crystal Reports Developer,Health care;Database;Recruiting;Microsoft Excel;Microsoft SQL Server;SQL;Crystal Reports
Customer Service Representative III,Insurance;Call center;Life insurance;Interfaces;Sales;Service level;Data entry;Professional services;Customer service
Customer Service Technician,
Customer Success Analyst,
Customer Success Manager,Customer satisfaction;Sales;Onboarding;Retail;Customer experience;SaaS;Adobe;Digital marketing
Customer Support Engineer,Cisco;Computer networking;Customer support;Technical support;Computer hardware
Customer Support Specialist,Customer support;Technical support;Organizational skills;Inventory
Customer Support Technician,Information systems;Computer networking;Customer support;Quality assurance;Audiovisual;Computer hardware;Customer service
Cyber Administrator,Health care;Computer networking;Policies;Risk assessment;Recruiting;Information security
Cyber Intelligence Analyst,Fraud;Cyber security;Computer networking;Electronic commerce;Threat analysis;Security clearance;Research
Cybersecurity Analyst,Cyber security;Computer networking;Identity management;Recruiting;Qualys;Microsoft Windows;Information security
Cybersecurity Architect,Security architecture;Cyber security;Computer networking;Cloud computing;Information security
Cybersecurity Compliance Manager,Compliance management;Utilities;ISO 9000;Quality assurance;ISO/IEC 27001:2005;Information security
Cybersecurity Consultant,Biomedicine;Training;Cyber security;Computer networking;Information security
Cybersecurity Engineer,EIS;Cyber security;Computer networking;Policies;Proxies;Information security
Cybersecurity Lead,Cyber security;Computer networking;Policies;Quality assurance;Security clearance;Information security
Cybersecurity Manager,EIS;Cyber security;Computer networking;Policies;Incident management;Information security
Cybersecurity Officer,Cyber security;Policies;Recruiting;Risk management;Information security
Cybersecurity Risk Analyst,Cyber security;Information security
Cybersecurity SME,Web application security;Network design;Cyber security;Computer networking;Network security;Palo Alto
Cybersecurity Specialist,Cyber security;Computer networking;Policies;Vulnerability management;Information security
DB2 DBA,Database administration;Utilities;Database;IBM DB2;Quality assurance;Performance tuning;IBM;z/OS;IBM DB2 DBA
DBA,Database administration;Software development;Database;Quality assurance;Oracle;Microsoft SQL Server;SQL
DBA Manager,Database administration;Accountability;Database;Hosting;Microsoft SQL Server
DSP Engineer,Algorithms;Software development;Digital signal processing;Security clearance;FPGA;Computer hardware
DW Analyst,Data warehouse;Data modeling;Business intelligence;Quality assurance;ETL;SQL
DW Consultant,Microsoft BI;Microsoft Windows Azure;Microsoft SQL Server;Data warehouse;Microsoft Power BI;Microsoft SSRS;Business intelligence;Microsoft SSIS;Microsoft SSAS
DW Manager,Data warehouse;Business intelligence;Cloud computing;Acceptance testing;Information management;FEP;ETL;Microsoft SQL Server
Data Analyst,Data analysis;SQL;Database;Microsoft Excel;Quality assurance
Data Analytics Analyst,Telecommuting;Health care;Analytics;Internal auditing;Quality assurance;MicroStrategy;Data analysis;SQL
Data Analytics Manager,HR management;Analytics;Data management;Business analysis;Business intelligence;Business cases;Data analysis
Data Architect,Data warehouse;Data modeling;Database;Data architecture
Data Architecture Lead,
Data Engineer,Apache Spark;Big data;Data engineering;ETL;Apache Hadoop;SQL
Data Entry Clerk,Training;Database;Data entry;Security clearance
Data Governance Analysts,Data integration;Policies;Reference data;Data governance;Partnership;Data analysis
Data Governance Lead,Data governance;Technical support;Quality assurance;Metrics
Data Integration Analyst,
Data Integration Specialist,ETL;Data analysis;Education;Data integration;Microsoft SSRS;Policies;Microsoft SSIS;MongoDB;Evaluation
Data Management Analyst,Data management;Data modeling;Machine learning;Quality assurance;Oracle;Microsoft Excel;Data analysis;Meta-data management
Data Management Specialist,Education;Database administration;Data management;Genomics;Security clearance;Linux
Data Manager,Data warehouse;Data management;Database;Marketing;Quality assurance;MI;SQL
Data Migration Specialist,Data management;Enterprise resource planning;Data migration;SAP;Scripting;Quality assurance;Oracle;Microsoft Excel;ETL;SQL
Data Modeler,Data warehouse;Data modeling;ERwin;Database;Modeling;ETL;SQL
Data Programer,Software development;Microsoft Dynamics AX;Database;Quality assurance;Python;ETL;SQL
Data Provisioning Specialist,
Data Quality Analyst,Database;Quality assurance;Metrics;IBM InfoSphere;Data analysis;SQL
Data Reporting Analyst,Dashboard;Database;Quality assurance;Microsoft Excel;Data analysis;SQL
Data Science Manager,Algorithms;Retail;Statistics;Data science;Electronic commerce;Business intelligence;Machine learning;Unstructured data;Python;R
Data Scientist,Algorithms;Data science;Machine learning;Python;Statistics;R
Data Security Analyst,Policies;Firewall;Data security;Information security
Data Specialist,Data management;OWB;Big data;ETL;Data analysis;SQL
Data Steward,Data dictionary;Policies;Data governance;Quality assurance;Data stewardship
Data Visualization Designer,
Data Visualization Developer,jQuery;HTML;Data visualization;Cascading style sheets;Infographics;KPI;UI;D3.js;JavaScript
Data Visualization Engineer,Apache Hive;Software development;Dashboard;Data visualization;Advanced analytics;Big data;Tableau;SQL
Data Warehousing Consultant,
Database Analyst,Database administration;Software development;Database analysis;Database;Quality assurance;Data analysis;Microsoft SQL Server;SQL
Database Architect,Database architecture;Database;Quality assurance;Performance tuning;Cloud computing;Oracle;PostgreSQL
Database Developer,Database;Quality assurance;MySQL;Oracle;ETL;Microsoft SQL Server;SQL
Database Management Specialist,
Database Manager,Database;Quality assurance;DoD;Security clearance;Systems design;EHR
Database Research Analyst,
Database Specialist,Database administration;Database;Security clearance;Microsoft SQL Server;SQL
Datacenter Administrator,Health care;Data center administration;Data centers;Computer hardware;Data analysis;Server hardware;Technical support
Datacenter Engineer,Storage;VMware;SAN;Computer networking;Cloud computing;Data centers;NetApp
Datacenter Manager,Metrics;Data center administration;Cloud computing;Data centers
Datacenter Operator,CICS;Microsoft Servers;Data centers;JCL;z/OS;Mainframe
Datacenter Project Manager,Budget;Firewall;Data centers;Internet;IBM;Project management
Datacenter Technician,Computer networking;Data centers;Computer hardware;Linux
Datastage Administrator,IBM InfoSphere DataStage;IBM InfoSphere QualityStage;Migration;Identity management;Software deployment;IBM InfoSphere;ETL;Microsoft Windows
Datastage Developer,Data warehouse;IBM InfoSphere DataStage;Unix;Database;Quality assurance;Teradata;Oracle;ETL;SQL
Datawarehouse Architect,Data warehouse;Data warehouse architecture;Data modeling;Business intelligence;Database;ETL
Datawarehouse Developer,Data warehouse;Business intelligence;Quality assurance;Microsoft SSIS;Business Objects;ETL;SQL
Datawarehouse Specialist,Data warehouse;Analytics;Software development;Data modeling;Database;ETL;SQL
Deep Learning Engineer,Algorithms;Machine learning;3D computer graphics;TensorFlow;Python;Deep learning;Research
Deep Learning Scientist,Algorithms;Analytics;Computer vision;Machine learning;TensorFlow;Science;Theano;Deep learning;Research;Caffe
Delivery Lead,Quality assurance;Project management;Software development;Planning
Delivery Manager,Budget;Delivery management;Project management;Agile
Department Manager,Accountability;Collaboration;Planning;Quality assurance;Departmental management;Recruiting;Organizational skills
Deployment Engineer,RF;Computer networking;Business intelligence;Deployment engineering;DAS;Quality assurance;Optical fiber
Deployment Manager,Quality assurance;Software deployment;Recruiting;Salesforce.com;Acceptance testing;Release management;Linux;Project management
Deployment Technician,IT service management;Software deployment;Recruiting;Computer hardware;Microsoft Windows
Design Engineer,Electrical engineering;PCB;Quality assurance;Computer hardware;Design engineering
Desktop Administrator,
Desktop Analyst,Computer networking;Technical support;Microsoft SCCM;Computer hardware;Microsoft Windows
Desktop Engineer,Computer engineering;Technical support;Microsoft SCCM;Computer hardware;Microsoft Windows
Desktop Specialist,JAMF Casper Suite;ACSA;Technical support;Active Directory;Dell;OS X;Microsoft Windows
Desktop Support,Computer networking;Technical support;Computer hardware;Microsoft Windows;Microsoft Office
Desktop Support Analyst,Technical support;Computer hardware;Printers
Desktop Support Engineer,Computer networking;Technical support;Computer hardware;Active Directory;Microsoft Windows
Desktop Support Manager,Training;Technical support;Automation;Mentorship
Desktop Support Specialist,Computer networking;Technical support;Computer hardware;Microsoft Windows;Microsoft Office
Desktop Support Technician,Technical support;Computer hardware
Desktop Support Technician I,Service desk;Technical support;Computer hardware;Inventory
Desktop Support Technician II,Computer networking;Technical support;Computer hardware;Microsoft Windows;Printers
Desktop Support Technician III,
Desktop Technician,Technical support;Computer hardware;Microsoft Windows;Laptop
DevOps Consultant,Docker;Microsoft Windows Azure;Jenkins;DevOps;Cloud computing;Automation;Linux;Continuous integration
